exp_name;seed;target_lang;metric;score
xnli_xlmr_ta;0;ar;ece;0,09298975765705109
xnli_xlmr_ta;0;ar;accuracy;0,686227560043335
xnli_xlmr_ta;0;de;ece;0,07426068931818008
xnli_xlmr_ta;0;de;accuracy;0,7283433079719543
xnli_xlmr_ta;0;es;ece;0,05515896528959274
xnli_xlmr_ta;0;es;accuracy;0,7604790329933167
xnli_xlmr_ta;0;hi;ece;0,10431595146656036
xnli_xlmr_ta;0;hi;accuracy;0,671257495880127
xnli_xlmr_ta;0;ru;ece;0,07205009460449219
xnli_xlmr_ta;0;ru;accuracy;0,7273452877998352
xnli_xlmr_ta;0;sw;ece;0,10564751923084259
xnli_xlmr_ta;0;sw;accuracy;0,6255488991737366
xnli_xlmr_ta;0;tr;ece;0,0975223109126091
xnli_xlmr_ta;0;tr;accuracy;0,6926147937774658
xnli_xlmr_ta;0;vi;ece;0,08860619366168976
xnli_xlmr_ta;0;vi;accuracy;0,7137724757194519
xnli_xlmr_ta;0;zh;ece;0,09679096937179565
xnli_xlmr_ta;0;zh;accuracy;0,6950100064277649
xnli_xlmr_ta;1;ar;ece;0,09272795170545578
xnli_xlmr_ta;1;ar;accuracy;0,6820359230041504
xnli_xlmr_ta;1;de;ece;0,0760917067527771
xnli_xlmr_ta;1;de;accuracy;0,7267464995384216
xnli_xlmr_ta;1;es;ece;0,060149066150188446
xnli_xlmr_ta;1;es;accuracy;0,7584830522537231
xnli_xlmr_ta;1;hi;ece;0,09852740168571472
xnli_xlmr_ta;1;hi;accuracy;0,6738523244857788
xnli_xlmr_ta;1;ru;ece;0,07521943002939224
xnli_xlmr_ta;1;ru;accuracy;0,7239521145820618
xnli_xlmr_ta;1;sw;ece;0,09985428303480148
xnli_xlmr_ta;1;sw;accuracy;0,6295409202575684
xnli_xlmr_ta;1;tr;ece;0,08026407659053802
xnli_xlmr_ta;1;tr;accuracy;0,7093812227249146
xnli_xlmr_ta;1;vi;ece;0,06823018938302994
xnli_xlmr_ta;1;vi;accuracy;0,7281436920166016
xnli_xlmr_ta;1;zh;ece;0,09097400307655334
xnli_xlmr_ta;1;zh;accuracy;0,7001996040344238
xnli_xlmr_ta;2;ar;ece;0,08584068715572357
xnli_xlmr_ta;2;ar;accuracy;0,6852295398712158
xnli_xlmr_ta;2;de;ece;0,06360093504190445
xnli_xlmr_ta;2;de;accuracy;0,7299401164054871
xnli_xlmr_ta;2;es;ece;0,04390896111726761
xnli_xlmr_ta;2;es;accuracy;0,765069842338562
xnli_xlmr_ta;2;hi;ece;0,09381627291440964
xnli_xlmr_ta;2;hi;accuracy;0,6724550724029541
xnli_xlmr_ta;2;ru;ece;0,0652540922164917
xnli_xlmr_ta;2;ru;accuracy;0,7303393483161926
xnli_xlmr_ta;2;sw;ece;0,09392907470464706
xnli_xlmr_ta;2;sw;accuracy;0,6283432841300964
xnli_xlmr_ta;2;tr;ece;0,07760028541088104
xnli_xlmr_ta;2;tr;accuracy;0,7075848579406738
xnli_xlmr_ta;2;vi;ece;0,06707419455051422
xnli_xlmr_ta;2;vi;accuracy;0,7217564582824707
xnli_xlmr_ta;2;zh;ece;0,09659098088741302
xnli_xlmr_ta;2;zh;accuracy;0,6918163895606995
xnli_xlmr_ta;3;ar;ece;0,07446780055761337
xnli_xlmr_ta;3;ar;accuracy;0,6814371347427368
xnli_xlmr_ta;3;de;ece;0,05444002151489258
xnli_xlmr_ta;3;de;accuracy;0,7303393483161926
xnli_xlmr_ta;3;es;ece;0,030799224972724915
xnli_xlmr_ta;3;es;accuracy;0,7678642868995667
xnli_xlmr_ta;3;hi;ece;0,07670725882053375
xnli_xlmr_ta;3;hi;accuracy;0,6756486892700195
xnli_xlmr_ta;3;ru;ece;0,05633392184972763
xnli_xlmr_ta;3;ru;accuracy;0,7269461154937744
xnli_xlmr_ta;3;sw;ece;0,07954933494329453
xnli_xlmr_ta;3;sw;accuracy;0,6273453235626221
xnli_xlmr_ta;3;tr;ece;0,0606774166226387
xnli_xlmr_ta;3;tr;accuracy;0,7117764353752136
xnli_xlmr_ta;3;vi;ece;0,06950123608112335
xnli_xlmr_ta;3;vi;accuracy;0,71257483959198
xnli_xlmr_ta;3;zh;ece;0,08037853240966797
xnli_xlmr_ta;3;zh;accuracy;0,6948103904724121
xnli_xlmr_ta;4;ar;ece;0,07024797052145004
xnli_xlmr_ta;4;ar;accuracy;0,70379239320755
xnli_xlmr_ta;4;de;ece;0,05620165169239044
xnli_xlmr_ta;4;de;accuracy;0,7447105646133423
xnli_xlmr_ta;4;es;ece;0,04039975255727768
xnli_xlmr_ta;4;es;accuracy;0,776247501373291
xnli_xlmr_ta;4;hi;ece;0,08695840835571289
xnli_xlmr_ta;4;hi;accuracy;0,6884231567382812
xnli_xlmr_ta;4;ru;ece;0,0622008815407753
xnli_xlmr_ta;4;ru;accuracy;0,7379241585731506
xnli_xlmr_ta;4;sw;ece;0,09747792780399323
xnli_xlmr_ta;4;sw;accuracy;0,6395209431648254
xnli_xlmr_ta;4;tr;ece;0,06925976276397705
xnli_xlmr_ta;4;tr;accuracy;0,7173652648925781
xnli_xlmr_ta;4;vi;ece;0,06566866487264633
xnli_xlmr_ta;4;vi;accuracy;0,7341317534446716
xnli_xlmr_ta;4;zh;ece;0,08015108108520508
xnli_xlmr_ta;4;zh;accuracy;0,7117764353752136
