exp_name;seed;target_lang;metric;score
copa_mbert_ta;0;et;ece;0,147703155875206
copa_mbert_ta;0;et;accuracy;0,5450901985168457
copa_mbert_ta;0;ht;ece;0,11681298166513443
copa_mbert_ta;0;ht;accuracy;0,5010020136833191
copa_mbert_ta;0;id;ece;0,190676748752594
copa_mbert_ta;0;id;accuracy;0,52304607629776
copa_mbert_ta;0;qu;ece;0,08161800354719162
copa_mbert_ta;0;qu;accuracy;0,5490981936454773
copa_mbert_ta;0;sw;ece;0,09023506194353104
copa_mbert_ta;0;sw;accuracy;0,5811623334884644
copa_mbert_ta;0;tr;ece;0,117320716381073
copa_mbert_ta;0;tr;accuracy;0,5651302337646484
copa_mbert_ta;0;vi;ece;0,1360187828540802
copa_mbert_ta;0;vi;accuracy;0,5891783833503723
copa_mbert_ta;0;zh;ece;0,09233400225639343
copa_mbert_ta;0;zh;accuracy;0,6452905535697937
copa_mbert_ta;1;et;ece;0,14938101172447205
copa_mbert_ta;1;et;accuracy;0,563126266002655
copa_mbert_ta;1;ht;ece;0,12249241024255753
copa_mbert_ta;1;ht;accuracy;0,5070140361785889
copa_mbert_ta;1;id;ece;0,16511133313179016
copa_mbert_ta;1;id;accuracy;0,5611222386360168
copa_mbert_ta;1;qu;ece;0,0796755775809288
copa_mbert_ta;1;qu;accuracy;0,5250501036643982
copa_mbert_ta;1;sw;ece;0,1435575783252716
copa_mbert_ta;1;sw;accuracy;0,5771543383598328
copa_mbert_ta;1;tr;ece;0,13300515711307526
copa_mbert_ta;1;tr;accuracy;0,5671342611312866
copa_mbert_ta;1;vi;ece;0,15380430221557617
copa_mbert_ta;1;vi;accuracy;0,5671342611312866
copa_mbert_ta;1;zh;ece;0,0815960168838501
copa_mbert_ta;1;zh;accuracy;0,6613226532936096
copa_mbert_ta;2;et;ece;0,11075688898563385
copa_mbert_ta;2;et;accuracy;0,5551102161407471
copa_mbert_ta;2;ht;ece;0,061194002628326416
copa_mbert_ta;2;ht;accuracy;0,5450901985168457
copa_mbert_ta;2;id;ece;0,12518277764320374
copa_mbert_ta;2;id;accuracy;0,5751503109931946
copa_mbert_ta;2;qu;ece;0,07742250710725784
copa_mbert_ta;2;qu;accuracy;0,5130260586738586
copa_mbert_ta;2;sw;ece;0,1200515553355217
copa_mbert_ta;2;sw;accuracy;0,531062126159668
copa_mbert_ta;2;tr;ece;0,1027764305472374
copa_mbert_ta;2;tr;accuracy;0,5591182112693787
copa_mbert_ta;2;vi;ece;0,1451398730278015
copa_mbert_ta;2;vi;accuracy;0,5751503109931946
copa_mbert_ta;2;zh;ece;0,08248096704483032
copa_mbert_ta;2;zh;accuracy;0,6773546934127808
copa_mbert_ta;3;et;ece;0,1696678102016449
copa_mbert_ta;3;et;accuracy;0,5370741486549377
copa_mbert_ta;3;ht;ece;0,09594926238059998
copa_mbert_ta;3;ht;accuracy;0,5450901985168457
copa_mbert_ta;3;id;ece;0,16364692151546478
copa_mbert_ta;3;id;accuracy;0,563126266002655
copa_mbert_ta;3;qu;ece;0,11774574220180511
copa_mbert_ta;3;qu;accuracy;0,5010020136833191
copa_mbert_ta;3;sw;ece;0,11091537773609161
copa_mbert_ta;3;sw;accuracy;0,563126266002655
copa_mbert_ta;3;tr;ece;0,1457335352897644
copa_mbert_ta;3;tr;accuracy;0,5490981936454773
copa_mbert_ta;3;vi;ece;0,13301686942577362
copa_mbert_ta;3;vi;accuracy;0,5911823511123657
copa_mbert_ta;3;zh;ece;0,09962564706802368
copa_mbert_ta;3;zh;accuracy;0,6492986083030701
copa_mbert_ta;4;et;ece;0,1574293076992035
copa_mbert_ta;4;et;accuracy;0,5370741486549377
copa_mbert_ta;4;ht;ece;0,11355070769786835
copa_mbert_ta;4;ht;accuracy;0,5170340538024902
copa_mbert_ta;4;id;ece;0,15936696529388428
copa_mbert_ta;4;id;accuracy;0,5551102161407471
copa_mbert_ta;4;qu;ece;0,11490627378225327
copa_mbert_ta;4;qu;accuracy;0,4949899911880493
copa_mbert_ta;4;sw;ece;0,11579100787639618
copa_mbert_ta;4;sw;accuracy;0,563126266002655
copa_mbert_ta;4;tr;ece;0,13625381886959076
copa_mbert_ta;4;tr;accuracy;0,5511022210121155
copa_mbert_ta;4;vi;ece;0,15455538034439087
copa_mbert_ta;4;vi;accuracy;0,5731462836265564
copa_mbert_ta;4;zh;ece;0,09763431549072266
copa_mbert_ta;4;zh;accuracy;0,6492986083030701
